Time,Temperature(C),Humidity(%),Light(%)
2026-07-23 11:48:19,29,43,13
2026-07-23 11:48:20,29,43,12
2026-07-23 11:48:21,29,43,13
2026-07-23 11:48:22,29,43,12
2026-07-23 11:48:24,29,43,36
2026-07-23 11:48:25,29,43,59
2026-07-23 11:48:27,29,43,12
2026-07-23 11:48:28,29,43,12
2026-07-23 11:48:29,29,43,13
2026-07-23 11:48:31,29,43,12
2026-07-23 11:52:42,29,43,13
2026-07-23 11:52:44,29,43,12
2026-07-23 11:52:45,29,43,13
2026-07-23 11:52:46,29,43,12
2026-07-23 11:52:48,29,43,13
2026-07-23 11:52:49,29,43,70
2026-07-23 11:52:50,29,43,23
2026-07-23 11:52:52,29,43,15
2026-07-23 11:52:53,29,43,13
2026-07-23 11:52:54,29,44,12
2026-07-23 11:52:56,29,44,13
2026-07-23 11:52:57,29,44,12
2026-07-24 11:48:46,29,39,10
2026-07-24 11:48:47,29,39,10
2026-07-24 11:48:48,29,39,10
2026-07-24 11:48:49,29,39,10
2026-07-24 11:48:51,29,39,10
2026-07-24 14:53:41,29,49,13
2026-07-24 14:53:42,29,49,14
2026-07-24 14:53:44,29,49,14
2026-07-24 14:53:45,29,49,13
2026-07-24 14:53:46,29,49,13
2026-07-24 14:53:48,29,49,13
2026-07-24 14:53:49,29,49,13
2026-07-24 14:53:50,29,49,13
2026-07-24 14:53:51,29,49,14
2026-07-24 14:53:53,29,49,19
2026-07-24 14:53:54,29,48,22
2026-07-24 14:53:55,29,48,70
2026-07-24 14:53:57,29,48,56
2026-07-24 14:53:58,29,48,58
2026-07-24 14:54:00,29,49,65
2026-07-24 14:54:01,29,50,67
2026-07-24 14:54:02,29,51,69
2026-07-24 14:54:03,30,51,65
2026-07-24 14:54:05,30,52,34
2026-07-24 14:54:06,30,52,12
2026-07-24 14:54:08,30,52,13
2026-07-24 14:54:09,30,52,13
2026-07-24 14:54:10,30,52,13
2026-07-24 14:54:12,30,52,13
2026-07-24 14:54:13,30,51,13
2026-07-24 14:54:14,30,51,13
2026-07-24 14:54:15,30,51,13
2026-07-24 14:54:17,30,50,13
2026-07-27 11:02:13,27,52,15
2026-07-27 11:02:14,27,52,15
2026-07-27 11:02:16,27,52,15
2026-07-27 11:02:17,27,52,16
2026-07-27 11:02:19,27,52,15
2026-07-27 11:02:20,27,52,15
2026-07-27 11:02:21,27,52,15
2026-07-27 11:02:22,27,52,16
2026-07-27 11:02:24,27,52,16
2026-07-27 11:02:25,27,52,16
2026-07-27 11:02:26,27,52,20
2026-07-27 11:02:28,27,52,20
2026-07-27 11:02:29,28,51,22
2026-07-27 11:02:30,28,51,71
2026-07-27 11:02:32,28,51,21
2026-07-27 11:02:33,28,51,25
2026-07-27 11:02:34,28,51,30
2026-07-27 11:02:36,28,52,27
2026-07-27 11:02:37,28,53,28
2026-07-27 11:02:38,28,53,27
2026-07-27 11:02:40,28,54,27
2026-07-27 11:02:41,28,55,16
2026-07-27 11:02:43,28,55,15
2026-07-27 11:02:44,28,54,14
2026-07-27 11:02:45,28,54,15
2026-07-27 11:02:47,28,54,14
2026-07-27 11:02:48,28,53,14
2026-07-27 11:02:49,28,53,14
2026-07-27 11:02:51,28,53,14
2026-07-27 11:02:52,28,53,15
2026-07-27 11:02:53,28,53,14
2026-07-27 11:02:54,28,52,14
2026-07-27 11:02:56,28,52,14
2026-07-27 11:02:57,28,52,14
2026-07-27 11:02:59,28,52,15
2026-07-27 11:03:00,28,52,14
2026-07-27 11:03:01,28,52,15
2026-07-27 11:03:03,28,52,14
2026-07-27 11:03:04,28,51,14
2026-07-27 11:03:05,28,51,15
2026-07-27 11:03:06,28,51,14
2026-07-27 11:03:08,28,51,14
2026-07-27 11:03:09,28,51,14
2026-07-27 11:03:10,28,51,14
2026-07-27 11:03:12,28,51,14
2026-07-27 11:03:13,28,51,14
2026-07-27 11:03:15,28,51,15
2026-07-27 11:03:16,28,51,14
2026-07-27 11:03:17,28,51,15
2026-07-27 11:03:19,28,50,14
2026-07-27 11:03:20,28,50,14
2026-07-27 11:03:21,28,50,15
2026-07-27 11:03:22,28,50,15
2026-07-27 11:03:24,28,50,15
2026-07-27 11:03:25,28,50,15
2026-07-27 11:03:27,28,50,14
2026-07-27 11:03:28,28,50,15
2026-07-27 11:03:29,28,50,15
2026-07-27 11:03:31,28,50,14
2026-07-27 11:03:32,28,50,15
2026-07-27 11:03:33,28,50,15
2026-07-27 11:03:34,28,50,14
2026-07-27 11:03:36,28,50,15
2026-07-27 11:03:37,28,50,15
2026-07-27 11:03:38,28,50,14
2026-07-27 11:03:40,28,50,14
2026-07-27 11:03:41,28,50,14
2026-07-27 11:03:43,28,50,14
2026-07-27 11:03:44,28,50,14
2026-07-29 18:36:08,28,47,14
2026-07-29 18:36:09,28,47,14
2026-07-29 18:36:11,28,47,13
2026-07-29 18:36:12,28,47,14
2026-07-29 18:36:23,28,47,13
2026-07-29 18:38:45,28,47,14
2026-07-29 18:38:46,28,47,13
