Time,Temperature(C),Humidity(%),Light(%)
2026-07-21 12:25:45,28,47,24
2026-07-21 12:25:46,28,47,24
2026-07-21 12:25:47,28,47,23
2026-07-21 12:25:49,28,47,24
2026-07-21 12:25:50,28,47,23
2026-07-21 12:25:51,28,47,24
2026-07-21 12:25:53,28,47,24
2026-07-21 12:25:54,28,47,24
2026-07-21 12:25:55,28,47,24
2026-07-21 12:25:57,28,47,24
2026-07-21 12:25:58,28,47,24
2026-07-21 12:25:59,28,47,25
2026-07-21 12:26:01,28,48,24
2026-07-21 12:26:02,28,48,25
2026-07-21 12:26:03,28,48,22
2026-07-21 12:26:05,28,49,15
2026-07-21 12:26:06,28,49,14
2026-07-21 12:26:07,28,50,15
2026-07-21 12:26:09,28,50,15
2026-07-21 12:26:10,28,50,15
2026-07-21 12:26:11,29,50,15
2026-07-21 12:26:13,29,51,18
2026-07-21 12:26:14,29,50,20
2026-07-21 12:26:15,29,50,55
2026-07-21 12:26:17,29,50,64
2026-07-21 12:26:18,29,49,67
2026-07-21 12:26:19,29,49,59
2026-07-21 12:26:21,29,48,67
2026-07-21 12:26:22,29,48,63
2026-07-21 12:26:23,29,48,65
2026-07-21 12:26:25,29,48,70
2026-07-21 12:26:26,29,48,69
2026-07-21 12:26:27,29,48,65
2026-07-21 12:26:29,29,47,72
2026-07-21 12:26:30,29,47,70
2026-07-21 12:26:31,29,47,68
2026-07-21 12:26:33,29,47,74
2026-07-21 12:26:34,29,47,75
2026-07-21 12:26:35,29,47,76
2026-07-21 12:26:37,29,47,79
2026-07-21 12:26:38,29,47,73
2026-07-21 12:26:39,29,47,74
2026-07-21 12:26:41,29,47,74
2026-07-21 12:26:42,29,47,69
2026-07-21 12:26:43,29,46,22
2026-07-21 12:26:45,29,46,22
2026-07-21 12:26:46,29,46,22
2026-07-21 12:26:47,29,46,22
2026-07-21 12:26:49,29,46,22
2026-07-21 12:26:50,29,46,22
2026-07-21 12:26:51,29,46,22
2026-07-21 12:26:53,29,46,22
2026-07-21 12:26:54,29,46,22
2026-07-21 12:26:56,29,46,22
2026-07-21 12:26:57,28,46,22
2026-07-21 12:26:58,28,46,22
2026-07-21 12:27:00,28,46,22
2026-07-21 12:27:01,28,46,22
2026-07-21 12:27:02,28,46,21
2026-07-21 12:27:03,28,46,22
2026-07-21 12:27:05,28,46,21
2026-07-21 12:27:06,28,46,22
2026-07-21 12:27:07,28,46,22
2026-07-21 12:27:09,28,46,22
2026-07-21 12:27:10,28,46,22
2026-07-21 12:27:11,28,46,22
2026-07-21 12:27:13,28,46,22
2026-07-21 12:27:14,28,46,22
2026-07-21 12:27:16,28,46,22
2026-07-21 12:27:17,28,46,22
2026-07-21 12:27:18,28,46,22
2026-07-21 12:27:20,28,46,22
2026-07-21 12:27:21,28,46,22
2026-07-21 12:27:22,28,46,23
2026-07-21 12:27:23,28,46,22
2026-07-21 12:27:25,28,46,23
2026-07-21 12:27:26,28,46,22
2026-07-21 12:27:27,28,46,22
2026-07-21 12:27:29,28,46,14
2026-07-21 12:27:30,28,46,15
2026-07-21 12:27:31,28,46,14
2026-07-21 12:27:33,28,46,14
2026-07-21 12:27:34,28,46,14
2026-07-21 12:27:35,28,46,15
2026-07-21 12:27:37,28,46,15
2026-07-21 12:27:53,28,46,15
2026-07-21 12:27:54,28,47,15
2026-07-21 12:27:55,28,47,15
2026-07-21 12:27:57,28,47,15
2026-07-21 12:46:01,29,48,17
2026-07-21 12:46:02,29,48,16
2026-07-21 12:46:04,29,48,16
2026-07-21 12:46:05,29,48,16
2026-07-21 12:46:06,29,48,16
2026-07-21 12:46:08,29,48,16
2026-07-21 12:46:09,29,48,16
2026-07-21 12:46:10,29,48,16
2026-07-21 12:46:12,29,48,17
2026-07-21 12:46:13,29,48,16
2026-07-21 12:46:14,29,48,17
2026-07-21 12:46:16,29,48,16
2026-07-21 12:46:17,29,48,17
2026-07-21 12:46:18,29,48,16
2026-07-21 12:46:20,29,48,16
2026-07-21 12:46:21,29,48,16
2026-07-21 12:46:22,29,48,16
2026-07-21 12:46:24,29,48,16
2026-07-21 12:50:49,29,48,18
2026-07-21 12:50:50,29,48,17
2026-07-21 12:50:52,29,48,17
2026-07-21 12:50:53,29,48,17
2026-07-21 12:50:54,29,48,17
2026-07-21 12:50:56,29,48,17
2026-07-21 12:51:49,29,48,16
2026-07-21 12:51:50,29,48,17
2026-07-21 12:51:52,29,48,17
